neighborhood,confirmed,dead,recovered
SAO CONRADO,24,1,12
CACUIA,1,0,0
COSME VELHO,6,1,2
OSWALDO CRUZ,1,0,0
BENTO RIBEIRO,6,1,0
PAQUETA,1,0,0
SAMPAIO,2,0,0
SAO FRANCISCO XAVIER,1,0,0
INHAUMA,6,0,1
GRAJAU,11,0,3
SEPETIBA,3,0,1
PEDRA DE GUARATIBA,1,0,0
CAMORIM,1,0,1
CIDADE NOVA,1,0,0
BARROS FILHO,3,0,0
RIO COMPRIDO,11,0,2
TAQUARA,16,0,1
HIGIENOPOLIS,4,0,0
ALTO DA BOA VISTA,2,0,0
BRAS DE PINA,6,0,0
RECREIO DOS BANDEIRANTES,29,4,4
GARDENIA AZUL,3,1,0
CURICICA,4,0,1
VARGEM GRANDE,2,0,0
TOMAS COELHO,2,0,0
COSMOS,7,0,1
GUARATIBA,3,0,0
VILA VALQUEIRE,3,2,1
FLAMENGO,41,2,5
PENHA,5,0,1
LARANJEIRAS,22,1,6
PAVUNA,17,0,0
RIBEIRA,1,0,0
HUMAITA,10,0,4
INDEFINIDO,96,0,3
PILARES,2,1,0
PADRE MIGUEL,10,1,3
VAZ LOBO,4,1,0
PACIENCIA,5,0,0
CACHAMBI,4,0,0
ESTACIO,4,0,0
ITANHANGA,11,1,1
TURIACU,2,0,0
SANTA CRUZ,3,0,0
CASCADURA,4,0,0
VILA ISABEL,30,1,4
QUINTINO BOCAIUVA,4,0,1
TODOS OS SANTOS,2,0,0
JARDIM SULACAP,3,1,0
SENADOR CAMARA,7,1,1
FREGUESIA-ILHA,5,0,0
FREGUESIA-JPA,11,1,3
MANGUEIRA,4,0,0
JARDIM GUANABARA,5,0,0
COPACABANA,103,7,14
PIEDADE,8,1,0
PENHA CIRCULAR,5,0,0
GUADALUPE,4,0,0
COELHO NETO,4,1,0
MARE,2,1,0
SENADOR VASCONCELOS,1,0,0
ROCHA MIRANDA,8,1,0
PECHINCHA,7,1,1
CAMPO GRANDE,23,1,0
PARADA DE LUCAS,5,0,1
COMPLEXO DO ALEMAO,1,0,0
MANGUINHOS,7,1,2
JACAREPAGUA,36,0,2
REALENGO,13,2,0
JOA,2,1,0
BANCARIOS,2,1,0
ROCINHA,14,2,0
SANTA TERESA,8,1,1
MARACANA,9,1,2
VIDIGAL,1,0,0
PRAIA DA BANDEIRA,1,0,0
GAMBOA,1,0,0
MEIER,26,1,3
PRACA SECA,7,0,0
VILA DA PENHA,7,1,1
ENGENHO DE DENTRO,6,0,0
ROCHA,2,0,0
CORDOVIL,4,0,0
JARDIM AMERICA,2,0,1
CAJU,1,0,0
JARDIM CARIOCA,1,0,0
VICENTE DE CARVALHO,5,0,0
PITANGUEIRAS,1,0,0
MAGALHAES BASTOS,1,0,0
CATUMBI,4,0,0
VIGARIO GERAL,5,2,0
INHOAIBA,3,1,0
ABOLICAO,3,0,0
BENFICA,6,1,1
ANCHIETA,9,0,0
FORA DO MUNICÍPIO,80,0,7
MARECHAL HERMES,8,1,1
TAUA,1,0,0
RIACHUELO,2,0,0
VARGEM PEQUENA,1,0,0
JARDIM BOTANICO,31,1,13
ENGENHO NOVO,8,0,0
SAUDE,1,0,0
OLARIA,9,0,0
CIDADE DE DEUS,3,0,0
ENCANTADO,1,0,0
SANTISSIMO,7,1,0
COSTA BARROS,3,0,0
ACARI,1,0,0
BONSUCESSO,10,2,0
CENTRO,20,1,2
PRACA DA BANDEIRA,3,0,0
LEME,10,1,0
ANDARAI,8,0,1
IRAJA,12,0,0
IPANEMA,66,5,22
ANIL,7,0,0
CAVALCANTE,2,0,0
SAO CRISTOVAO,5,0,0
COLEGIO,8,1,0
VILA KOSMOS,3,0,0
BOTAFOGO,63,2,11
LINS DE VASCONCELOS,8,1,0
PORTUGUESA,5,1,1
BANGU,24,2,1
CATETE,6,0,2
JACARE,2,0,0
GAVEA,17,1,4
MADUREIRA,3,1,0
DEODORO,3,0,1
HONORIO GURGEL,1,0,0
DEL CASTILHO,3,0,0
TANQUE,3,0,0
TIJUCA,59,6,8
VISTA ALEGRE,1,1,0
URCA,4,0,0
LEBLON,89,0,28
ENGENHO DA RAINHA,4,1,0
BARRA DA TIJUCA,147,3,41
LAGOA,44,1,10
RAMOS,7,0,0
